Date,Close
10/1/2012,60.57
10/2/2012,60.33
10/3/2012,61.77
10/4/2012,61.74
10/5/2012,63.2
10/8/2012,61.88
10/9/2012,60.95
10/10/2012,59.74
10/11/2012,59.01
10/12/2012,59.56
10/15/2012,60.65
10/16/2012,60.86
10/17/2012,61.39
10/18/2012,61.8
10/19/2012,61.89
10/22/2012,62.04
10/23/2012,61.75
10/24/2012,61.28
10/25/2012,60.48
10/26/2012,60.04
10/31/2012,61.38
11/1/2012,62.26
11/2/2012,62.02
11/5/2012,62.38
11/6/2012,62.62
11/7/2012,61.99
11/8/2012,60.86
11/9/2012,60.96
11/12/2012,61.16
11/13/2012,63.38
11/14/2012,61.47
11/15/2012,61.25
11/16/2012,62.12
11/19/2012,63.33
11/20/2012,63.82
11/21/2012,64.09
11/23/2012,64.82
11/26/2012,64.67
11/27/2012,64.16
11/28/2012,64.83
11/29/2012,64.24
11/30/2012,65.07
12/3/2012,64.98
12/4/2012,64.24
12/5/2012,64.02
12/6/2012,64.34
12/7/2012,64.45
12/10/2012,63.04
12/11/2012,62.89
12/12/2012,62.93
12/13/2012,62.41
12/14/2012,62.06
12/17/2012,63.31
12/18/2012,63
12/19/2012,61.77
12/20/2012,61.97
12/21/2012,61.32
12/24/2012,61.57
12/26/2012,61.14
12/27/2012,61.07
12/28/2012,60.65
12/31/2012,61.85
1/2/2013,63.48
1/3/2013,63.3
1/4/2013,63.18
1/7/2013,62.84
1/8/2013,63.22
1/9/2013,63.17
1/10/2013,63.62
1/11/2013,63.7
1/14/2013,63.48
1/15/2013,63.95
1/16/2013,63.86
1/17/2013,65.05
1/18/2013,65.47
1/22/2013,65.75
1/23/2013,66.46
1/24/2013,67.35
1/25/2013,67.82
1/28/2013,67.58
1/29/2013,67.2
1/30/2013,67.24
1/31/2013,66.92
2/1/2013,67.3
2/4/2013,66.36
2/5/2013,66.39
2/6/2013,66.67
2/7/2013,66.31
2/8/2013,67.01
2/11/2013,66.38
2/12/2013,67.32
2/13/2013,67.45
2/14/2013,67.34
2/15/2013,67.52
2/19/2013,67.55
2/20/2013,66.44
2/21/2013,64.38
2/22/2013,65.58
2/25/2013,63.92
2/26/2013,67.56
2/27/2013,68.06
2/28/2013,68.5
3/1/2013,69.03
3/4/2013,70.29
3/5/2013,70.47
3/6/2013,70.48
3/7/2013,70.25
3/8/2013,71.37
3/11/2013,71.32
3/12/2013,70.75
3/13/2013,70.76
3/14/2013,70.24
3/15/2013,69.05
3/18/2013,69.35
3/19/2013,68.79
3/20/2013,68.88
3/21/2013,68.95
3/22/2013,69.56
3/25/2013,69.47
3/26/2013,70.05
3/27/2013,69.65
3/28/2013,69.78
4/1/2013,69.67
4/2/2013,71.02
4/3/2013,70.36
4/4/2013,70.69
4/5/2013,70.06
4/8/2013,71.22
4/9/2013,71.2
4/10/2013,71.69
4/11/2013,71.9
4/12/2013,73.62
4/15/2013,72.23
4/16/2013,72.46
4/17/2013,72.8
4/18/2013,72.48
4/19/2013,74
4/22/2013,73.86
4/23/2013,73.38
4/24/2013,73.28
4/25/2013,73.37
4/26/2013,73.35
4/29/2013,73.67
4/30/2013,73.35
5/1/2013,72.76
5/2/2013,73.33
5/3/2013,73.96
5/6/2013,75.26
5/7/2013,75.07
5/8/2013,75.42
5/9/2013,75.87
5/10/2013,76.01
5/13/2013,76.67
5/14/2013,77.32
5/15/2013,77.88
5/16/2013,76.75
5/17/2013,76.86
5/20/2013,76.76
5/21/2013,78.71
5/22/2013,79.69
5/23/2013,78.91
5/24/2013,78.99
5/28/2013,79.82
5/29/2013,79.49
5/30/2013,79.44
5/31/2013,78.66
6/3/2013,79.08
6/4/2013,76.63
6/5/2013,75.1
6/6/2013,77.26
6/7/2013,78.74
6/10/2013,77.73
6/11/2013,77.61
6/12/2013,76.4
6/13/2013,76.53
6/14/2013,76.59
6/17/2013,76.14
6/18/2013,77.19
6/19/2013,75.93
6/20/2013,73.87
6/21/2013,73.82
6/24/2013,73.51
6/25/2013,74.14
6/26/2013,75.67
6/27/2013,76.27
6/28/2013,77.47
7/1/2013,76.87
7/2/2013,77.31
7/3/2013,77.73
7/5/2013,78.29
7/8/2013,79.22
7/9/2013,79.7
7/10/2013,79.4
7/11/2013,79.86
7/12/2013,80.54
7/15/2013,80.4
7/16/2013,80.22
7/17/2013,80.44
7/18/2013,80.02
7/19/2013,79.89
7/22/2013,80
7/23/2013,80.19
7/24/2013,80.27
7/25/2013,78.99
7/26/2013,78.74
7/29/2013,78.67
7/30/2013,78.6
7/31/2013,79.03
8/1/2013,78.64
8/2/2013,80.23
8/5/2013,79.66
8/6/2013,80.05
8/7/2013,78.83
8/8/2013,80.04
8/9/2013,78.97
8/12/2013,79.2
8/13/2013,79.44
8/14/2013,77.44
8/15/2013,75.14
8/16/2013,75.38
8/19/2013,75.21
8/20/2013,74.29
8/21/2013,73.73
8/22/2013,74
8/23/2013,73.89
8/26/2013,75.43
8/27/2013,74.12
8/28/2013,75.03
8/29/2013,75.05
8/30/2013,74.49
9/3/2013,73.9
9/4/2013,74.14
9/5/2013,72.99
9/6/2013,72.7
9/9/2013,73.58
9/10/2013,74.6
9/11/2013,75.04
9/12/2013,75.4
9/13/2013,75.11
9/16/2013,75.54
9/17/2013,75.8
9/18/2013,77.37
9/19/2013,78.51
9/20/2013,77
9/23/2013,75.91
9/24/2013,76.04
9/25/2013,75.52
9/26/2013,76.07
9/27/2013,75.96
9/30/2013,75.85
10/1/2013,76.26
10/2/2013,76.32
10/3/2013,75.88
10/4/2013,75.78
10/7/2013,75.13
10/8/2013,74.27
10/9/2013,74.14
10/10/2013,75.51
10/11/2013,76.32
10/14/2013,76.35
10/15/2013,75.18
10/16/2013,74.94
10/17/2013,75.74
10/18/2013,74.69
10/21/2013,74.62
10/22/2013,74.86
10/23/2013,75.08
10/24/2013,76.78
10/25/2013,76.25
10/28/2013,76.06
10/29/2013,77.5
10/30/2013,77.88
10/31/2013,77.89
11/1/2013,76.99
11/4/2013,77
11/5/2013,76.65
11/6/2013,76.42
11/7/2013,75.69
11/8/2013,75.48
11/11/2013,75.37
11/12/2013,76.18
11/13/2013,77.6
11/14/2013,78.94
11/15/2013,80.03
11/18/2013,79.67
11/19/2013,80.38
11/20/2013,79.75
11/21/2013,79.83
11/22/2013,79.18
11/25/2013,79.75
11/26/2013,80.35
11/27/2013,80.66
11/29/2013,80.67
12/2/2013,79.77
12/3/2013,78.71
12/4/2013,78.4
12/5/2013,78.54
12/6/2013,79.84
12/9/2013,79.6
12/10/2013,78.61
12/11/2013,79
12/12/2013,78.53
12/13/2013,79.01
12/16/2013,79.1
12/17/2013,78.62
12/18/2013,80.05
